undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
0.40599999,BDI,SubSaharian,663.5700099999999,,6.800000190734862,2.595248937606812,5.416419982910156,24.94817924499512
0.93800002,CHE,WesternDem,50454.41,8.140000343322754,2.099999904632568,5.986858367919923,5.096079826354981,84.2464828491211
0.82800001,LVA,EastEurope,16583.67,2.000999927520752,4.400000095367432,3.764238119125366,5.285240173339844,94.276611328125
0.70599997,BLZ,Caribbean,6649.1401,0.3499999940395355,6.5,2.651880979537964,6.425839900970459,69.32601165771484
0.484,TGO,SubSaharian,1036.28,6.928999900817871,7.300000190734862,,4.868460178375244,
0.46599999,CIV,SubSaharian,1354.29,22.52400016784668,6.699999809265138,3.562078714370728,4.729380130767822,
0.79500002,OMN,NorthAfrica,26158.73,3.717000007629395,1.8999999761581419,3.535049200057983,4.960380077362061,94.32984161376952
0.92400002,SGP,SouthEastAsia,54268.148,5.46999979019165,3.2999999523162837,5.797279357910156,2.91579008102417,
0.63800001,GUY,Caribbean,2042.8199,0.7559999823570251,9.100000381469727,3.933674573898315,3.19215989112854,82.4810562133789
0.92299998,DNK,WesternDem,37406.762,5.626999855041504,1.8999999761581419,4.81274938583374,8.627109527587892,89.81745910644531
0.58200002,GNQ,SubSaharian,15412.43,,6.0,,,
0.91299999,NZL,WesternDem,26481.369,4.554999828338623,2.099999904632568,5.318371295928955,6.33680009841919,96.44001770019531
0.787,MYS,SouthEastAsia,12284.27,30.70899963378906,4.5,5.258416175842285,5.195930004119873,67.99771881103516
0.73500001,LCA,Caribbean,11095.8,0.1669999957084656,,,4.901659965515137,77.71405792236328
0.79299998,KAZ,EastEurope,14098.88,17.42200088500977,3.5999999046325684,3.581974983215332,2.7874999046325684,95.94628143310548
0.71799999,TON,Pacific,3962.0601,0.1040000021457672,,,,75.42909240722656
,MCO,WesternDem,108481.13,,,,1.0219500064849851,
0.39899999,BFA,SubSaharian,1095.96,16.5,6.9000000953674325,2.868712186813355,4.60476016998291,26.4928092956543
0.59799999,VUT,Pacific,2877.01,0.2569999992847443,,,4.910830020904541,49.496299743652344
0.48800001,UGA,SubSaharian,1343.45,37.599998474121094,7.300000190734862,3.571631669998169,2.213870048522949,
0.55500001,NPL,SouthAsia,1462.08,28.17499923706055,7.0,3.591810703277588,3.9813001155853267,59.67913055419922
0.89600003,LUX,WesternDem,61404.48,0.550000011920929,2.099999904632568,4.580255031585693,4.0838799476623535,84.60346984863281
0.92299998,NLD,WesternDem,42258.352,16.86499977111816,2.5999999046325684,5.304530620574951,5.529379844665527,93.88201904296876
0.52499998,NGA,SubSaharian,2246.8201,160.3419952392578,7.0999999046325675,2.85273027420044,,
0.67799997,SLV,LatAm,332.26999,,6.9000000953674325,3.804579257965088,3.448570013046265,70.17172241210939
0.51300001,MRT,SubSaharian,2223.01,3.36899995803833,6.300000190734862,2.6716678142547607,2.9301199913024902,23.10231971740723
0.77499998,CRI,LatAm,9485.71,,3.5,4.666448593139648,6.9272398948669425,78.12113952636719
0.83600003,ARE,NorthAfrica,20310.109,,2.5,5.27984094619751,,
0.75800002,AZE,EastEurope,9793.3096,9.342000007629396,4.300000190734863,3.089141368865967,2.634660005569458,
0.90799999,GBR,WesternDem,34791.051,64.59700012207031,2.099999904632568,4.633322238922119,5.734489917755128,98.2799835205078
0.61500001,IND,SouthAsia,4256.79,,5.5,4.156626701354981,3.842360019683838,61.75524139404297
0.91100001,LIE,WesternDem,102243.52,,,,2.556040048599243,91.53871917724608
0.73400003,FJI,Pacific,3848.72,0.8799999952316284,7.5999999046325675,,3.882889986038208,83.38211059570312
0.83399999,HUN,EastEurope,18310.811,9.876999855041504,3.2999999523162837,3.28902006149292,4.6593499183654785,92.19537353515624
0.64600003,CPV,SubSaharian,3972.6101,0.5120000243186951,8.600000381469728,3.891948699951172,4.99245023727417,69.1138687133789
0.80500001,RUS,EastEurope,19063.689,143.4290008544922,4.5,3.4765191078186035,3.8613300323486333,
0.86400002,BRN,SouthEastAsia,46103.84,0.4120000004768372,4.599999904632568,4.417221069335938,3.353189945220947,87.03231811523438
0.35100001,NER,SubSaharian,644.53998,,6.9000000953674325,,6.709410190582275,15.665040016174322
0.93699998,AUS,WesternDem,38611.949,23.62100028991699,1.0,4.79896879196167,5.225339889526367,87.5728530883789
0.78399998,ATG,Caribbean,12257.71,,7.300000190734862,,,79.73143768310547
0.79400003,URY,LatAm,12804.84,3.453999996185303,4.400000095367432,2.903504610061647,4.356939792633057,76.34809875488281
0.90200001,JPN,EastAsia,36123.77,127.12000274658199,2.5999999046325684,4.430102348327637,3.591840028762817,99.04267120361328
0.48800001,SDN,SubSaharian,,,8.800000190734863,,,
0.68800002,EGY,NorthAfrica,5598.2598,86.69999694824219,4.699999809265137,2.187044858932495,,81.85820770263672
0.91799998,USA,WesternDem,47769.699,318.7890014648438,1.5,4.5645713806152335,5.380780220031738,90.46228790283205
0.89200002,AUT,WesternDem,38868.039,8.543999671936035,1.5,4.492074966430664,5.499549865722656,
0.67799997,VNM,SouthEastAsia,4147.5698,89.69100189208984,5.599999904632568,3.336011409759522,5.658730030059815,
0.71899998,LBY,NorthAfrica,4102.8398,6.265999794006348,6.4000000953674325,1.874972462654114,,
0.51099998,MDG,SubSaharian,822.62,,6.0999999046325675,2.968793392181397,2.0820400714874268,31.08041000366211
0.84500003,CHL,LatAm,15519.08,17.81900024414063,3.2000000476837163,3.69163703918457,4.750120162963867,88.29785919189453
0.68599999,IDN,SouthEastAsia,4780.0098,252.1649932861328,6.300000190734862,4.464125156402588,3.278609991073608,75.01837158203125
0.79000002,BHS,Caribbean,21672.029,0.3560000061988831,5.0,,,
0.86500001,GRC,WesternDem,25295.27,10.927000045776369,3.7999999523162837,2.999258995056152,,95.0673828125
0.74699998,BIH,EastEurope,8507.6504,3.871000051498413,5.5,2.355769157409668,,
0.41800001,ERI,SubSaharian,1007.28,,7.5999999046325675,,,28.41555976867676
0.58200002,LAO,SouthEastAsia,2926.77,6.8979997634887695,7.4000000953674325,3.834710359573364,3.320110082626343,50.828941345214844
0.42100000000000004,SSD,SubSaharian,,,6.9000000953674325,,1.7129700183868408,
0.90899998,SWE,WesternDem,39000.91,9.645000457763672,1.5,4.577005863189697,7.675089836120606,96.65155792236328
,TWN,EastAsia,33965.871,23.43400001525879,,3.908831357955933,,
0.64499998,MAR,NorthAfrica,3999.5601,33.179000854492195,7.5999999046325675,3.170891284942627,,56.14244842529297
0.89499998,BEL,WesternDem,33764.711,11.18099975585938,1.8999999761581419,5.328890800476074,6.5851402282714835,95.2855987548828
0.72399998,COL,LatAm,8761.1396,47.6619987487793,6.699999809265138,3.405907869338989,4.659409999847412,78.58606719970703
0.773,CUB,LatAm,5899.9399,,5.699999809265138,,,87.48567199707031
0.76800001,GEO,EastEurope,7148.5698,3.7300000190734863,5.400000095367432,3.20092511177063,1.983309984207153,92.05198669433594
0.73299998,MNG,EastAsia,6277.8999,2.881999969482422,3.0999999046325684,2.909875631332398,4.599870204925537,
0.88099998,ITA,WesternDem,32931.672,60.78300094604492,2.0,3.736852645874023,4.079850196838379,95.72698974609376
,SMR,WesternDem,42664.210999999996,0.034000001847743995,,,2.3837299346923833,
0.414,MOZ,SubSaharian,852.39001,25.73299980163574,7.4000000953674325,2.77046012878418,6.483220100402832,19.43997955322266
0.77399999,IRN,NorthAfrica,12889.28,75.1500015258789,6.199999809265138,3.0124309062957764,2.9541900157928467,80.731201171875
0.89899999,KOR,EastAsia,33181.891,50.74700164794922,3.5,3.6152341365814213,5.052110195159912,96.77686309814452
0.495,LSO,SubSaharian,1539.79,,7.4000000953674325,4.053547382354736,,35.21265029907227
0.53100002,AGO,SubSaharian,3771.2,25.78899955749512,6.0,2.134715557098389,,
0.792,BGR,EastEurope,13967.45,7.202000141143799,4.599999904632568,3.387006282806397,4.061970233917236,88.16580963134766
0.54799998,PAK,SouthAsia,2855.55,186.19000244140634,7.0,3.3811123371124268,2.464349985122681,41.17535018920898
0.73699999,PER,LatAm,9227.1504,30.80900001525879,6.699999809265138,2.538634538650513,3.6897799968719482,78.37956237792969
0.76200002,KNA,Caribbean,11237.75,,,,2.784240007400513,82.93193817138672
0.76200002,ALB,EastEurope,8516.7002,,7.0999999046325675,4.111338615417481,3.539439916610718,85.27821350097656
0.42500001,COD,SubSaharian,324.16,,7.0999999046325675,2.9574468135833736,2.245349884033203,
0.69400001,GAB,SubSaharian,14525.28,,5.5,2.875664710998535,2.666169881820679,
0.84600002,LTU,EastEurope,17559.75,2.931999921798706,4.199999809265137,3.930860996246338,4.612500190734863,96.36762237548828
0.71799999,DOM,LatAm,10376.63,,7.5999999046325675,2.636394500732422,,65.45761108398439
0.89300001,FIN,WesternDem,36958.211,5.427000045776367,2.299999952316284,5.859115123748778,7.168099880218506,94.00318145751952
0.75099999,GRD,Caribbean,8314.5596,,8.399999618530272,,,82.3596420288086
0.75800002,MEX,LatAm,13609.42,119.7129974365234,5.800000190734862,2.814059019088745,5.3134799003601065,67.40973663330078
0.69700003,UZB,EastEurope,7370.7202,29.74600028991699,6.300000190734862,,,92.20738220214844
0.60399997,BTN,SouthAsia,5639.02,0.765999972820282,6.800000190734862,4.0338730812072745,5.924600124359131,62.83831024169922
0.34700000000000003,CAF,SubSaharian,690.03998,,6.9000000953674325,,1.22393000125885,13.60074996948242
0.84500003,SAU,NorthAfrica,20872.711,30.770000457763672,3.7000000476837163,4.109292984008788,,87.83480834960938
0.92000002,IRL,WesternDem,46422.07,4.620999813079834,2.799999952316284,5.434197425842285,5.324570178985597,99.57335662841795
,MHL,Pacific,2833.97,0.0540000014007092,,,,64.4613037109375
0.94800001,NOR,WesternDem,57634.77,5.156000137329102,1.6000000238418581,5.048264026641847,7.373290061950684,95.2019271850586
0.72000003,VCT,Caribbean,7454.8799,0.1099999994039536,,,,
0.79400003,BRB,Caribbean,22888.971,0.2790000140666962,5.400000095367432,5.0402259826660165,6.573299884796143,99.42874908447266
0.77899998,MUS,SubSaharian,10944.54,1.261000037193298,4.199999809265137,4.234806537628174,4.91772985458374,83.88175964355469
0.79900002,KWT,NorthAfrica,64342.710999999996,3.999000072479248,3.0999999046325684,3.075769186019898,,83.57884979248047
0.50700003,ZWE,SubSaharian,15997.67,12.45899963378906,8.0,4.20008134841919,8.429329872131348,44.23696899414063
0.625,TJK,EastEurope,3592.6499,8.131999969482424,6.300000190734862,3.8404254913330083,5.232150077819824,83.22482299804688
